label,problem,cell,status,makespan,copy,spill,hit,hit_bytes,miss_bytes
case_051_p1_best,1,old,success,259576,9111024,0,,,
case_051_p1_best,1,partition_only,success,282520,9897468,0,,,
case_051_p1_best,1,joint,success,269716,9897468,0,,,
case_009_p2_best,2,a0_o0,success,45206,1244558,0,,,
case_009_p2_best,2,a0_o1,success,44932,1244558,0,,,
case_009_p2_best,2,a1_o0,success,45443,1228174,0,,,
case_009_p2_best,2,a1_o1,success,44975,1228174,0,,,
case_009_p2_best,2,old_exact,success,45226,1244558,0,,,
case_090_p2_counterexample,2,a0_o0,success,241954,7116288,0,,,
case_009_p2_best,2,new_exact,success,44374,1228174,0,,,
case_090_p2_counterexample,2,a0_o1,success,242551,7116288,0,,,
case_090_p2_counterexample,2,a1_o0,success,244971,6952704,0,,,
case_090_p2_counterexample,2,a1_o1,success,237104,6952704,0,,,
case_090_p2_counterexample,2,old_exact,success,241954,7116288,0,,,
case_090_p2_counterexample,2,new_exact,success,237104,6952704,0,,,
case_023_p3_best,2,a0_o0,success,18797,279968,0,,,
case_023_p3_best,3,a0_o0,success,18441,279968,0,0.1582493580018815,112032,595914
case_023_p3_best,2,a0_o1,success,18576,279968,0,,,
case_023_p3_best,2,a1_o0,success,18797,279968,0,,,
case_023_p3_best,3,a1_o0,success,18441,279968,0,0.1582493580018815,112032,595914
case_023_p3_best,2,a1_o1,success,18576,279968,0,,,
case_023_p3_best,3,a0_o1,success,18049,279968,0,0.20453537416695625,144800,563146
case_023_p3_best,3,a1_o1,success,18049,279968,0,0.20453537416695625,144800,563146
case_023_p3_best,2,old_exact,success,18608,279968,0,,,
case_023_p3_best,3,old_exact,success,18080,279968,0,0.20453537416695625,144800,563146
case_023_p3_best,2,new_exact,success,18576,279968,0,,,
case_023_p3_best,3,new_exact,success,18049,279968,0,0.20453537416695625,144800,563146
case_047_p1_counterexample,1,old,success,190683,3231082,0,,,
case_044_p3_counterexample,2,a0_o0,success,46591,1021280,0,,,
case_044_p3_counterexample,3,a0_o0,success,43210,1021280,0,0.15612038358164382,301120,1627648
case_044_p3_counterexample,2,a1_o0,success,46591,1021280,0,,,
case_044_p3_counterexample,3,a1_o0,success,43210,1021280,0,0.15612038358164382,301120,1627648
case_044_p3_counterexample,2,a0_o1,success,46723,1021280,0,,,
case_044_p3_counterexample,3,a0_o1,success,43213,1021280,0,0.15612038358164382,301120,1627648
case_044_p3_counterexample,2,a1_o1,success,46723,1021280,0,,,
case_044_p3_counterexample,3,a1_o1,success,43213,1021280,0,0.15612038358164382,301120,1627648
case_044_p3_counterexample,2,old_exact,success,46591,1021280,0,,,
case_044_p3_counterexample,3,old_exact,success,43210,1021280,0,0.15612038358164382,301120,1627648
case_044_p3_counterexample,2,new_exact,success,46723,1021280,0,,,
case_044_p3_counterexample,3,new_exact,success,43213,1021280,0,0.15612038358164382,301120,1627648
case_047_p1_counterexample,1,joint,success,205283,3484074,0,,,
